id,pokedex_version_id,game_name,flavor_text
96,1,Red,Puts enemies to sleep then eats their dreams.Occasionally gets sick from eating bad dreams.
96,2,Blue,Puts enemies to sleep then eats their dreams.Occasionally gets sick from eating bad dreams.
96,3,Yellow,If you sleep by it all the time it will sometimesshow you dreams it has eaten in the past.
96,4,Gold,If you think that you had a good dream but youcan't remember it a DROWZEE has probably eaten it.
96,5,Silver,It remembers every dream it eats. It rarely eats thedreams of adults because children's are much tastier.
96,6,Crystal,When it twitches its nose it can tell where someoneis sleeping and what that person is dreaming about.
96,7,Ruby,If your nose becomes itchy while you are sleeping it's a sure sign that one of these Pokemon is standing aboveyour pillow and trying to eat your dream through your nostrils.
96,8,Sapphire,If your nose becomes itchy while you are sleeping it's a sure sign that one of these Pokemon is standing aboveyour pillow and trying to eat your dream through your nostrils.
96,9,Emerald,If your nose becomes itchy while you are sleeping it's a sure sign that a DROWZEE is standing above your pillow and trying to eat your dream through your nostrils.
96,10,FireRed,A descendent of the legendary animal baku which is said to eat dreams. It is skilled at hypnotism.
96,11,LeafGreen,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating only bad dreams.
96,12,Diamond,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
96,13,Pearl,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
96,14,Platinum,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
96,15,HeartGold,If you think that you had a good dream but you can't remember it a DROWZEE has probably eaten it.
96,16,SoulSilver,It remembers every dream it eats. It rarely eats the dreams of adults because children's are much tastier.
96,17,Black,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
96,18,White,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
96,21,Black 2,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
96,22,White 2,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
96,23,X,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating only bad dreams.
96,24,Y,If you think that you had a good dream but you can't remember it a Drowzee has probably eaten it.
96,25,Omega Ruby,If your nose becomes itchy while you are sleeping it's a sure sign that one of these Pokemon is standing above your pillow and trying to eat your dream through your nostrils.
96,26,Alpha Sapphire,If your nose becomes itchy while you are sleeping it's a sure sign that one of these Pokemon is standing above your pillow and trying to eat your dream through your nostrils.
