pokemon_id,identifier,version_group_id,move_id,move_name,pokemon_move_method_id,level,order
221,piloswine,3,30,Horn Attack,1,1,1
221,piloswine,3,31,Fury Attack,1,33,
221,piloswine,3,36,Take Down,1,28,
221,piloswine,3,54,Mist,1,42,
221,piloswine,3,59,Blizzard,1,56,
221,piloswine,3,181,Powder Snow,1,1,2
221,piloswine,3,181,Powder Snow,1,10,
221,piloswine,3,203,Endure,1,1,3
221,piloswine,3,203,Endure,1,19,
221,piloswine,4,30,Horn Attack,1,1,1
221,piloswine,4,31,Fury Attack,1,33,
221,piloswine,4,36,Take Down,1,28,
221,piloswine,4,54,Mist,1,42,
221,piloswine,4,59,Blizzard,1,56,
221,piloswine,4,133,Amnesia,1,70,
221,piloswine,4,181,Powder Snow,1,1,2
221,piloswine,4,181,Powder Snow,1,10,
221,piloswine,4,203,Endure,1,1,3
221,piloswine,4,203,Endure,1,19,
221,piloswine,5,30,Horn Attack,1,1,1
221,piloswine,5,31,Fury Attack,1,33,
221,piloswine,5,36,Take Down,1,28,
221,piloswine,5,54,Mist,1,42,
221,piloswine,5,59,Blizzard,1,56,
221,piloswine,5,133,Amnesia,1,70,
221,piloswine,5,181,Powder Snow,1,1,3
221,piloswine,5,181,Powder Snow,1,10,
221,piloswine,5,203,Endure,1,1,4
221,piloswine,5,203,Endure,1,19,
221,piloswine,5,316,Odor Sleuth,1,1,2
221,piloswine,6,30,Horn Attack,1,1,1
221,piloswine,6,31,Fury Attack,1,33,
221,piloswine,6,36,Take Down,1,28,
221,piloswine,6,54,Mist,1,42,
221,piloswine,6,59,Blizzard,1,56,
221,piloswine,6,133,Amnesia,1,70,
221,piloswine,6,181,Powder Snow,1,1,3
221,piloswine,6,181,Powder Snow,1,10,
221,piloswine,6,203,Endure,1,1,4
221,piloswine,6,203,Endure,1,19,
221,piloswine,6,316,Odor Sleuth,1,1,2
221,piloswine,7,30,Horn Attack,1,1,1
221,piloswine,7,31,Fury Attack,1,33,
221,piloswine,7,36,Take Down,1,28,
221,piloswine,7,54,Mist,1,42,
221,piloswine,7,59,Blizzard,1,56,
221,piloswine,7,133,Amnesia,1,70,
221,piloswine,7,181,Powder Snow,1,1,3
221,piloswine,7,181,Powder Snow,1,10,
221,piloswine,7,203,Endure,1,1,4
221,piloswine,7,203,Endure,1,19,
221,piloswine,7,316,Odor Sleuth,1,1,2
221,piloswine,8,31,Fury Attack,1,33,
221,piloswine,8,36,Take Down,1,32,
221,piloswine,8,54,Mist,1,48,
221,piloswine,8,59,Blizzard,1,56,
221,piloswine,8,64,Peck,1,1,2
221,piloswine,8,89,Earthquake,1,40,
221,piloswine,8,133,Amnesia,1,65,
