pokemon_id,identifier,version_group_id,move_id,move_name,pokemon_move_method_id,level,order
114,tangela,1,20,Bind,1,1,2
114,tangela,1,21,Slam,1,45,
114,tangela,1,71,Absorb,1,29,
114,tangela,1,74,Growth,1,49,
114,tangela,1,77,Poison Powder,1,32,
114,tangela,1,78,Stun Spore,1,36,
114,tangela,1,79,Sleep Powder,1,39,
114,tangela,1,132,Constrict,1,1,1
114,tangela,2,20,Bind,1,24,
114,tangela,2,21,Slam,1,45,
114,tangela,2,22,Vine Whip,1,29,
114,tangela,2,71,Absorb,1,27,
114,tangela,2,74,Growth,1,48,
114,tangela,2,77,Poison Powder,1,32,
114,tangela,2,78,Stun Spore,1,36,
114,tangela,2,79,Sleep Powder,1,39,
114,tangela,2,132,Constrict,1,1,
114,tangela,3,20,Bind,1,25,
114,tangela,3,21,Slam,1,40,
114,tangela,3,22,Vine Whip,1,19,
114,tangela,3,71,Absorb,1,10,
114,tangela,3,72,Mega Drain,1,31,
114,tangela,3,74,Growth,1,46,
114,tangela,3,77,Poison Powder,1,13,
114,tangela,3,78,Stun Spore,1,34,
114,tangela,3,79,Sleep Powder,1,4,
114,tangela,3,132,Constrict,1,1,
114,tangela,4,20,Bind,1,25,
114,tangela,4,21,Slam,1,40,
114,tangela,4,22,Vine Whip,1,19,
114,tangela,4,71,Absorb,1,10,
114,tangela,4,72,Mega Drain,1,31,
114,tangela,4,74,Growth,1,46,
114,tangela,4,77,Poison Powder,1,13,
114,tangela,4,78,Stun Spore,1,34,
114,tangela,4,79,Sleep Powder,1,4,
114,tangela,4,132,Constrict,1,1,
114,tangela,5,20,Bind,1,28,
114,tangela,5,21,Slam,1,40,
114,tangela,5,22,Vine Whip,1,22,
114,tangela,5,71,Absorb,1,10,
114,tangela,5,72,Mega Drain,1,31,
114,tangela,5,74,Growth,1,13,
114,tangela,5,77,Poison Powder,1,19,
114,tangela,5,78,Stun Spore,1,37,
114,tangela,5,79,Sleep Powder,1,4,
114,tangela,5,132,Constrict,1,1,2
114,tangela,5,275,Ingrain,1,1,1
114,tangela,5,321,Tickle,1,46,
114,tangela,6,20,Bind,1,28,
114,tangela,6,21,Slam,1,40,
114,tangela,6,22,Vine Whip,1,22,
114,tangela,6,71,Absorb,1,10,
114,tangela,6,72,Mega Drain,1,31,
114,tangela,6,74,Growth,1,13,
114,tangela,6,77,Poison Powder,1,19,
114,tangela,6,78,Stun Spore,1,37,
114,tangela,6,79,Sleep Powder,1,4,
114,tangela,6,132,Constrict,1,1,2
114,tangela,6,275,Ingrain,1,1,1
114,tangela,6,321,Tickle,1,46,
114,tangela,7,20,Bind,1,28,
114,tangela,7,21,Slam,1,40,
114,tangela,7,22,Vine Whip,1,22,
114,tangela,7,71,Absorb,1,10,
114,tangela,7,72,Mega Drain,1,31,
114,tangela,7,74,Growth,1,13,
114,tangela,7,77,Poison Powder,1,19,
114,tangela,7,78,Stun Spore,1,37,
114,tangela,7,79,Sleep Powder,1,4,
114,tangela,7,132,Constrict,1,1,2
114,tangela,7,275,Ingrain,1,1,1
114,tangela,7,321,Tickle,1,46,
114,tangela,8,20,Bind,1,22,
114,tangela,8,21,Slam,1,43,
114,tangela,8,22,Vine Whip,1,19,
114,tangela,8,71,Absorb,1,8,
114,tangela,8,72,Mega Drain,1,26,
114,tangela,8,74,Growth,1,12,
114,tangela,8,77,Poison Powder,1,15,
114,tangela,8,78,Stun Spore,1,29,
114,tangela,8,79,Sleep Powder,1,5,
114,tangela,8,132,Constrict,1,1,2
114,tangela,8,246,Ancient Power,1,33,
114,tangela,8,275,Ingrain,1,1,1
114,tangela,8,282,Knock Off,1,36,
114,tangela,8,321,Tickle,1,47,
114,tangela,8,363,Natural Gift,1,40,
114,tangela,8,378,Wring Out,1,50,
114,tangela,8,438,Power Whip,1,54,
114,tangela,9,20,Bind,1,22,
114,tangela,9,21,Slam,1,43,
114,tangela,9,22,Vine Whip,1,19,
114,tangela,9,71,Absorb,1,8,
114,tangela,9,72,Mega Drain,1,26,
114,tangela,9,74,Growth,1,12,
114,tangela,9,77,Poison Powder,1,15,
114,tangela,9,78,Stun Spore,1,29,
114,tangela,9,79,Sleep Powder,1,5,
114,tangela,9,132,Constrict,1,1,2
114,tangela,9,246,Ancient Power,1,33,
114,tangela,9,275,Ingrain,1,1,1
114,tangela,9,282,Knock Off,1,36,
114,tangela,9,321,Tickle,1,47,
114,tangela,9,363,Natural Gift,1,40,
114,tangela,9,378,Wring Out,1,50,
114,tangela,9,438,Power Whip,1,54,
114,tangela,10,20,Bind,1,22,
114,tangela,10,21,Slam,1,43,
114,tangela,10,22,Vine Whip,1,19,
114,tangela,10,71,Absorb,1,8,
114,tangela,10,72,Mega Drain,1,26,
114,tangela,10,74,Growth,1,12,
114,tangela,10,77,Poison Powder,1,15,
114,tangela,10,78,Stun Spore,1,29,
114,tangela,10,79,Sleep Powder,1,5,
114,tangela,10,132,Constrict,1,1,2
114,tangela,10,246,Ancient Power,1,33,
114,tangela,10,275,Ingrain,1,1,1
114,tangela,10,282,Knock Off,1,36,
114,tangela,10,321,Tickle,1,47,
114,tangela,10,363,Natural Gift,1,40,
114,tangela,10,378,Wring Out,1,50,
114,tangela,10,438,Power Whip,1,54,
114,tangela,11,20,Bind,1,22,
114,tangela,11,21,Slam,1,43,
114,tangela,11,22,Vine Whip,1,19,
114,tangela,11,71,Absorb,1,8,
114,tangela,11,72,Mega Drain,1,26,
114,tangela,11,74,Growth,1,12,
114,tangela,11,77,Poison Powder,1,15,
114,tangela,11,78,Stun Spore,1,29,
114,tangela,11,79,Sleep Powder,1,5,
114,tangela,11,132,Constrict,1,1,2
114,tangela,11,246,Ancient Power,1,36,
114,tangela,11,275,Ingrain,1,1,1
114,tangela,11,282,Knock Off,1,33,
114,tangela,11,321,Tickle,1,47,
114,tangela,11,363,Natural Gift,1,40,
114,tangela,11,378,Wring Out,1,50,
114,tangela,11,438,Power Whip,1,54,
114,tangela,12,20,Bind,1,28,
114,tangela,12,21,Slam,1,40,
114,tangela,12,22,Vine Whip,1,22,
114,tangela,12,71,Absorb,1,10,
114,tangela,12,72,Mega Drain,1,31,
114,tangela,12,74,Growth,1,13,
114,tangela,12,77,Poison Powder,1,19,
114,tangela,12,78,Stun Spore,1,37,
114,tangela,12,79,Sleep Powder,1,4,
114,tangela,12,132,Constrict,1,1,2
114,tangela,12,275,Ingrain,1,1,1
114,tangela,12,321,Tickle,1,46,
114,tangela,13,20,Bind,1,28,
114,tangela,13,21,Slam,1,40,
114,tangela,13,22,Vine Whip,1,22,
114,tangela,13,71,Absorb,1,10,
114,tangela,13,72,Mega Drain,1,31,
114,tangela,13,74,Growth,1,13,
114,tangela,13,77,Poison Powder,1,19,
114,tangela,13,78,Stun Spore,1,37,
114,tangela,13,79,Sleep Powder,1,4,
114,tangela,13,132,Constrict,1,1,2
114,tangela,13,275,Ingrain,1,1,1
114,tangela,13,321,Tickle,1,46,
114,tangela,14,20,Bind,1,17,
114,tangela,14,21,Slam,1,43,
114,tangela,14,22,Vine Whip,1,7,
114,tangela,14,71,Absorb,1,10,
114,tangela,14,72,Mega Drain,1,23,
114,tangela,14,74,Growth,1,20,
114,tangela,14,77,Poison Powder,1,14,
114,tangela,14,78,Stun Spore,1,30,
114,tangela,14,79,Sleep Powder,1,4,
114,tangela,14,132,Constrict,1,1,2
114,tangela,14,202,Giga Drain,1,36,
114,tangela,14,246,Ancient Power,1,40,
114,tangela,14,275,Ingrain,1,1,1
114,tangela,14,282,Knock Off,1,27,
114,tangela,14,321,Tickle,1,46,
114,tangela,14,363,Natural Gift,1,33,
114,tangela,14,378,Wring Out,1,49,
114,tangela,14,438,Power Whip,1,53,
114,tangela,15,20,Bind,1,17,
114,tangela,15,21,Slam,1,41,
114,tangela,15,22,Vine Whip,1,7,
114,tangela,15,71,Absorb,1,10,
114,tangela,15,72,Mega Drain,1,23,
114,tangela,15,74,Growth,1,20,
114,tangela,15,77,Poison Powder,1,14,
114,tangela,15,78,Stun Spore,1,30,
114,tangela,15,79,Sleep Powder,1,4,
114,tangela,15,132,Constrict,1,1,2
114,tangela,15,202,Giga Drain,1,36,
114,tangela,15,246,Ancient Power,1,38,
114,tangela,15,275,Ingrain,1,1,1
114,tangela,15,282,Knock Off,1,27,
114,tangela,15,321,Tickle,1,44,
114,tangela,15,363,Natural Gift,1,33,
114,tangela,15,378,Wring Out,1,46,
114,tangela,15,438,Power Whip,1,50,
114,tangela,15,580,Grassy Terrain,1,48,
114,tangela,16,20,Bind,1,17,1
114,tangela,16,21,Slam,1,41,1
114,tangela,16,22,Vine Whip,1,7,1
114,tangela,16,71,Absorb,1,10,1
114,tangela,16,72,Mega Drain,1,23,1
114,tangela,16,74,Growth,1,20,1
114,tangela,16,77,Poison Powder,1,14,1
114,tangela,16,78,Stun Spore,1,30,1
114,tangela,16,79,Sleep Powder,1,4,1
114,tangela,16,132,Constrict,1,1,2
114,tangela,16,202,Giga Drain,1,36,1
114,tangela,16,246,Ancient Power,1,38,1
114,tangela,16,275,Ingrain,1,1,1
114,tangela,16,282,Knock Off,1,27,1
114,tangela,16,321,Tickle,1,44,1
114,tangela,16,363,Natural Gift,1,33,1
114,tangela,16,378,Wring Out,1,46,1
114,tangela,16,438,Power Whip,1,50,1
114,tangela,16,580,Grassy Terrain,1,48,1
