id,pokedex_version_id,flavor_text
205,4,Its entire body is shielded by a steel-hard shell.What lurks inside the armor is a total mystery.
205,5,It remains immova bly rooted to its tree. It scatterspieces of its hard shell to drive its enemies away.
205,6,Usually found hanging on to a fat tree trunk. Itshoots out bits of its shell when it sees action.
205,7,FORRETRESS conceals itself inside its hardened steel shell. The shell is opened when the Pokemon is catching prey but it does so at such a quick pace that the shell's inside cannot be seen.
205,8,FORRETRESS conceals itself inside its hardened steel shell. The shell is opened when the Pokemon is catching prey but it does so at such a quick pace that the shell's inside cannot be seen.
205,9,It keeps itself inside its steel shell. The shell is opened when it is catching prey but it is so quick that the shell's inside cannot be seen.
205,10,It remains immovably rooted to its tree. It scatters pieces of its hard shell to drive its enemies away.
205,11,Its entire body is shielded by a steel- hard shell. What lurks inside the armor is a total mystery.
205,12,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
205,13,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
205,14,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
205,15,Its entire body is shielded by a steel-hard shell. What lurks inside this shell is a total mystery.
205,16,It remains immovably rooted to its tree. It scatters pieces of its hard shell to drive its enemies away.
205,17,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
205,18,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
205,21,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
205,22,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
205,23,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
205,24,It remains immovably rooted to its tree. It scatters pieces of its hard shell to drive its enemies away.
205,25,Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokemon is catching prey but it does so at such a quick pace that the shell's inside cannot be seen.
205,26,Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokemon is catching prey but it does so at such a quick pace that the shell's inside cannot be seen.
