id,pokedex_version_id,game_name,flavor_text
335,7,Ruby,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE's body.This Pokemon adroitly dodges attacks with incredible agility.
335,8,Sapphire,ZANGOOSE usually stays on all fours but when angered it gets up on its hind legs and extends its claws.This Pokemon shares a bitter rivalry with SEVIPER that dates back over generations.
335,9,Emerald,When it battles it stands on its hind legs and attacks with its sharply clawed forelegs. Its fur bristles if it encounters any SEVIPER.
335,10,FireRed,If it comes across a SEVIPER its fur bristles and it assumes its battle pose. Its sharp claws are its best weapon.
335,11,LeafGreen,If it comes across a SEVIPER its fur bristles and it assumes its battle pose. Its sharp claws are its best weapon.
335,12,Diamond,It has feuded with SEVIPER for many generations. Its sharp claws are its biggest weapons.
335,13,Pearl,It has feuded with SEVIPER for many generations. Its sharp claws are its biggest weapons.
335,14,Platinum,It has feuded with SEVIPER for many generations. Its sharp claws are its biggest weapons.
335,15,HeartGold,Its fur would all stand on end if it smelled a SEVIPER nearby. Its sharp claws tear up its foes.
335,16,SoulSilver,Its fur would all stand on end if it smelled a SEVIPER nearby. Its sharp claws tear up its foes.
335,17,Black,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.
335,18,White,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.
335,21,Black 2,It's Seviper's archrival. To threaten those it encounters it fans out the claws on its front paws.
335,22,White 2,It's Seviper's archrival. To threaten those it encounters it fans out the claws on its front paws.
335,23,X,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.
335,24,Y,Its fur would all stand on end if it smelled a Seviper nearby. Its sharp claws tear up its foes.
335,25,Omega Ruby,Memories of battling its archrival Seviper are etched into every cell of Zangoose's body. This Pokemon adroitly dodges attacks with incredible agility.
335,26,Alpha Sapphire,Zangoose usually stays on all fours but when angered it gets up on its hind legs and extends its claws. This Pokemon shares a bitter rivalry with Seviper that dates back over generations.
